feature,mean_abs_shap
note__olibanum,0.0006058679965253508
note__cardamom,0.0005878811414291934
note__saffron,0.0005470252588249256
note__raspberry,0.0005311705863109506
note__osmanthus,0.0005291916737847371
note__rum,0.0005182460005161769
accord__patchouli,0.0005176640141919972
note__bitter orange,0.0005119847943693791
note__tobacco,0.0005107770003906595
note__bulgarian rose,0.0005088581752061039
note__cypress,0.0005034564844002942
note__tea,0.000501172363108217
note__plum,0.00048499907413992235
note__heliotrope,0.00047069800580765435
note__coriander,0.00047048196959175565
note__magnolia,0.00046894830555862713
note__pear,0.00046559009646507545
note__tuberose,0.00046366773192732595
country_India,0.0004588128129585228
accord__tropical,0.00045291969442211115
country_Poland,0.00044874993204393256
note__sichuan pepper,0.00043581113968114315
accord__oud,0.0004308886003572238
accord__earthy,0.00042958880267461927
note__neroli,0.00042222239740555864
note__sage,0.0004196022765925251
accord__balsamic,0.0004125217434511647
note__amberwood,0.000405339061945483
note__cassia,0.0004002730494590625
note__agarwood (oud),0.0003855630763222145
note__orchid,0.00037258593024923884
note__black pepper,0.00036436335243908094
country_Germany,0.00036138679732883436
note__woody notes,0.0003577052194564623
note__hiacynth,0.0003510516854622518
note__galbanum,0.0003507722795493539
country_Greece,0.00034541819369741
note__caraway,0.0003454145581116745
note__apple,0.0003409668909837234
note__lily,0.0003395442486198741
note__ambergris,0.0003389689980267195
country_Canada,0.0003355899557302425
note__virginia cedar,0.00033529527588465295
note__ambroxan,0.0003336856334478537
note__vanille,0.00032703391627144637
note__citruses,0.00032582360572447095
note__sea notes,0.00032364414376918405
note__cashmeran,0.0003216499212747804
note__green notes,0.00032060735318523945
note__damask rose,0.0003205856866083619
note__guaiac wood,0.0003130824070439393
accord__lavender,0.0003126375938221518
note__cashmere wood,0.0003113551239569502
note__opoponax,0.00030962708454957235
note__nutmeg,0.0003081747353788948
note__coconut,0.0003015725088634564
note__moss,0.00029936870967437867
note__angelica,0.0002982452008440596
note__litchi,0.0002939162925264312
note__almond,0.0002930084001956283
note__turkish rose,0.00028780650263400906
note__amalfi lemon,0.00028466423112914784
note__aldehydes,0.0002830185954833577
note__gardenia,0.00028231736552569595
note__rosemary,0.00027676009475685273
note__hyacinth,0.00026498911079831234
note__suede,0.0002635327543694891
accord__soft spicy,0.00025793089333422253
note__tangerine,0.00025602510475541675
note__honeysuckle,0.0002547178677149431
note__calabrian bergamot,0.00025151869842032467
note__juniper,0.00024828257501766484
note__caramel,0.0002365559969527762
accord__ozonic,0.00022438391103955202
note__mate,0.00022305623381258525
note__pink grapefruit,0.00022238349719764237
note__pepper,0.00021997980299587515
note__lotus,0.00021971937478494435
note__praline,0.00021739801882869985
note__red fruits,0.00021513103794460316
note__clementine,0.0002053932090327056
accord__yellow floral,0.00020461036360969656
note__cyclamen,0.0002023129104350386
note__clary sage,0.00020187139792710395
note__salt,0.00020176035998247213
note__black currant,0.0002015433982860549
note__orris,0.0001976268122994964
note__green tea,0.00019126566212957223
note__indonesian patchouli leaf,0.0001880602957420293
note__quince,0.00018254469901776444
note__fig,0.00017372312001854572
note__frangipani,0.00017233132388799353
note__rhubarb,0.00016906517076170562
note__woodsy notes,0.0001661944096623155
country_Argentina,0.00016556508379674033
note__egyptian jasmine,0.000163548850418844
note__water notes,0.00016344118082485377
accord__animalic,0.00016049288195577776
note__cassis,0.00015783430619878438
note__spicy notes,0.00015732543024972695
note__star anise,0.0001571109813871239
note__licorice,0.0001550126256035057
note__strawberry,0.00015485422037163452
note__blackberry,0.0001542961356852616
note__coumarin,0.0001530550825897711
country_Netherlands,0.00015244313242415909
note__basil,0.00015159403734035958
note__petitgrain,0.00014447609345025593
note__lilac,0.0001432978436340866
note__haitian vetiver,0.00014263076679961847
note__myrrh,0.00014218494179860694
note__red apple,0.0001421325715105916
note__water lily,0.00013938672994665553
note__peru balsam,0.0001387171213435217
accord__violet,0.0001381333118399267
note__african orange flower,0.0001375800784625577
note__melon,0.00013606984153919808
note__cloves,0.00013566236426696012
note__mimosa,0.0001348026585224823
note__apricot,0.00013478798584289049
note__powdery notes,0.00013355595304100488
note__cherry blossom,0.00012952066183337103
note__styrax,0.00012906873373768102
note__white flowers,0.00012812513332265347
note__cacao,0.00012730092165870699
note__italian mandarin,0.0001245074768816888
note__tiare flower,0.00012025570502075518
note__juniper berries,0.00011924376603865116
note__resins,0.00011661529479085355
note__italian lemon,0.00011161539623798529
note__citron,0.00010892743344780333
note__anise,0.00010885437749910009
note__immortelle,0.00010670030208313436
note__milk,0.00010629013074860468
