feature,importance
note__wormwood,0.00038272835235099754
note__atlas cedar,0.00037821379269897045
note__vanilla orchid,0.0003767316777147799
note__carrot seeds,0.0003765992429543463
note__indonesian patchouli leaf,0.00036131631892928856
note__teak wood,0.000342850313454295
note__white cedar extract,0.0003413196053244106
note__chamomile,0.0003388333990654648
note__australian sandalwood,0.0003370447087843376
note__bay leaf,0.0003344733794487948
note__bamboo,0.0003274937730027137
note__resins,0.00031967740787106503
note__marshmallow,0.000317359867231321
note__black tea,0.0003128930761633556
note__fig leaf,0.00031131983806858757
note__hawthorn,0.00029374687824634783
note__pomelo,0.00029330234309404233
note__sweet pea,0.0002925656190577568
note__granny smith apple,0.000292327972454911
note__grass,0.0002903661985500347
note__driftwood,0.0002829664554253626
note__guava,0.00027535337094778143
note__coconut milk,0.0002741008432893708
note__hibiscus,0.0002708108146214723
note__pimento,0.00026791572131085927
note__chocolate,0.00026537111381134943
note__italian mandarin,0.0002626495552399483
note__sweet notes,0.00026109271438596405
note__cacao pod,0.0002600340830417359
note__vanila,0.00025984467956395504
note__tagetes,0.0002574157407382449
note__vanilla absolute,0.00025494702110693
note__peach blossom,0.0002538467484312043
note__fir,0.0002450523197598953
note__white honey,0.0002444288371743751
note__ivy,0.0002421981385465046
note__pine,0.00024104842802816565
note__cotton candy,0.0002398349114655167
note__dried fruits,0.0002358655997540775
note__big strawberry,0.00023491067393274182
note__blueberry,0.00023330003995386303
note__elemi resin,0.00023102441442377118
note__quince,0.00022996307256129545
note__kumquat,0.00022641625621617621
note__kiwi,0.00022354150607493457
note__myrtle,0.0002212254283221427
note__herbal notes,0.00022020601128608302
note__pine tree,0.0002201469795100909
note__hay,0.00021940839024135118
note__sweet orange,0.00021894225312148524
note__siam benzoin,0.00021739399039562892
note__ozonic notes,0.0002165109518015782
note__passion flower,0.00021637569027912673
note__sicilian bergamot,0.00021565474562213957
note__solar notes,0.00021414533643501491
note__beeswax,0.0002099347692383094
note__apple blossom,0.00020727234924066654
note__mahogany,0.00020669332794089396
note__cedarwood,0.0002065991598089923
note__eucalyptus,0.00020658157802227596
note__sour cherry,0.00020573256354363285
note__marigold,0.00020501955490621272
note__smoke,0.0002018578163377591
note__lily of the valley,0.00019894073141206247
note__white peach,0.00019863961083920923
note__fruits,0.00019493720494102716
note__rose petals,0.00019263326795782422
note__indian jasmine,0.00019039849907736178
note__amyris,0.00019030087219635173
note__whiskey,0.00018968424557026567
note__white wood,0.00018460834680414265
note__precious woods,0.00017962578188215577
note__white rose,0.0001739662607469587
note__tobacco leaf,0.0001720268927625685
note__seaweed,0.00017039545481835734
note__sea salt,0.00016817728140176602
note__champaca,0.00016663409922133964
note__cranberry,0.00015633786349411946
note__flowers,0.00015625715977402924
note__gurjan balsam,0.000150008471897291
note__almond blossom,0.00014911834167918818
note__cognac,0.00013822188015993433
note__champagne,0.0001378262358598031
note__pink peony,0.00013528386714700607
note__virginian cedar,0.000134836323448969
note__rose de mai,0.0001316111915845547
note__wild berries,0.00012356699766353656
note__white tea,0.00011966899196887856
country_Denmark,0.00010329665329481245
country_Thailand,0.0001031533773455729
country_Czech Republic,2.2585191992349195e-05
gender_nan,0.0
